Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 2;NAPO;TENA;ATENTADO AL PUDOR;19/6/2017;FLAGRANTE;HOMBRE;31;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;18/6/2017;BOLETA;HOMBRE;26;ECUATORIANA
ZONA 7;EL ORO;ARENILLAS;DELITO ENERGETICO;19/6/2017;FLAGRANTE;HOMBRE;37;ECUATORIANA
ZONA 4;MANABI;JAMA;HERIDAS/LESIONES;18/6/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 4;MANABI;PUERTO LOPEZ;HURTO;18/6/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VIOLACION;19/6/2017;FLAGRANTE;HOMBRE;33;ECUATORIANA
ZONA 1;IMBABURA;OTAVALO;VARIOS;19/6/2017;BOLETA;HOMBRE;33;ECUATORIANA
ZONA 1;IMBABURA;IBARRA;HURTO;19/6/2017;FLAGRANTE;HOMBRE;17;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;19/6/2017;BOLETA;HOMBRE;40;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;HOMBRE;31;ECUATORIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;VARIOS;19/6/2017;BOLETA;MUJER;33;ECUATORIANA
ZONA 4;MANABI;PORTOVIEJO;REBELION Y ATENTADO;18/6/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;HOMBRE;23;ECUATORIANA
ZONA 7;ZAMORA CHINCHIPE;YANTZAZA;VARIOS;19/6/2017;BOLETA;HOMBRE;24;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;18;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;19/6/2017;FLAGRANTE;HOMBRE;15;ECUATORIANA
ZONA 2;PICHINCHA;MEJIA;VIOLACION;19/6/2017;FLAGRANTE;HOMBRE;19;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;19/6/2017;BOLETA;HOMBRE;37;ECUATORIANA
ZONA 2;PICHINCHA;MEJIA;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;41;ECUATORIANA
ZONA 2;NAPO;TENA;VARIOS;19/6/2017;BOLETA;HOMBRE;66;ECUATORIANA
ZONA 2;NAPO;TENA;VARIOS;19/6/2017;BOLETA;HOMBRE;21;ECUATORIANA
ZONA 2;NAPO;TENA;VARIOS;19/6/2017;BOLETA;HOMBRE;48;ECUATORIANA
ZONA 7;EL ORO;MACHALA;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;19/6/2017;FLAGRANTE;HOMBRE;27;ECUATORIANA
ZONA 8;DMG;DURAN;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;37;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;ACOSO SEXUAL;19/6/2017;FLAGRANTE;HOMBRE;24;ECUATORIANA
ZONA 3;COTOPAXI;LA MANA;ROBO DOMICILIO;19/6/2017;FLAGRANTE;HOMBRE;43;ECUATORIANA
ZONA 4;MANABI;CHONE;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;53;ECUATORIANA
ZONA 1;CARCHI;TULCAN;HURTO;19/6/2017;FLAGRANTE;HOMBRE;34;ECUATORIANA
ZONA 7;LOJA;LOJA;VARIOS;19/6/2017;BOLETA;HOMBRE;26;ECUATORIANA
ZONA 1;ESMERALDAS;QUININDE;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;19/6/2017;FLAGRANTE;HOMBRE;67;ECUATORIANA
ZONA 6;AZUAY;CUENCA;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;40;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;;COLOMBIANA
ZONA 8;DMG;GUAYAQUIL;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;30;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;31;ECUATORIANA
ZONA 6;CAÑAR;CAÑAR;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;38;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;19/6/2017;BOLETA;MUJER;45;ECUATORIANA
ZONA 5;GUAYAS;BALAO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;MUJER;27;ECUATORIANA
ZONA 5;GUAYAS;BALAO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;MUJER;26;ECUATORIANA
ZONA 7;EL ORO;ARENILLAS;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 6;CAÑAR;EL TAMBO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;;ECUATORIANA
ZONA 2;PICHINCHA;MEJIA;VARIOS;19/6/2017;BOLETA;HOMBRE;46;ECUATORIANA
ZONA 7;LOJA;LOJA;VARIOS;19/6/2017;BOLETA;HOMBRE;21;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;19/6/2017;BOLETA;HOMBRE;43;ECUATORIANA
ZONA 7;EL ORO;MACHALA;DELITO ADUANERO;19/6/2017;FLAGRANTE;HOMBRE;30;ECUATORIANA
ZONA 5;GUAYAS;MILAGRO;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;18;ECUATORIANA
ZONA 5;GUAYAS;MILAGRO;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;18;ECUATORIANA
ZONA 6;CAÑAR;CAÑAR;VARIOS;19/6/2017;BOLETA;HOMBRE;71;ECUATORIANA
ZONA 7;EL ORO;MACHALA;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;22;ECUATORIANA
ZONA 1;ESMERALDAS;ESMERALDAS;VARIOS;19/6/2017;BOLETA;HOMBRE;28;ECUATORIANA
ZONA 1;CARCHI;ESPEJO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;;COLOMBIANA
ZONA 7;EL ORO;MACHALA;VARIOS;19/6/2017;BOLETA;HOMBRE;34;ECUATORIANA
ZONA 7;EL ORO;HUAQUILLAS;VARIOS;19/6/2017;BOLETA;HOMBRE;36;ECUATORIANA
ZONA 1;ESMERALDAS;SAN LORENZO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;MUJER;;COLOMBIANA
ZONA 7;LOJA;LOJA;VARIOS;19/6/2017;BOLETA;HOMBRE;43;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;67;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;MICROTRAFICO;19/6/2017;FLAGRANTE;MUJER;35;ECUATORIANA
ZONA 5;GUAYAS;MILAGRO;VARIOS;19/6/2017;BOLETA;HOMBRE;43;ECUATORIANA
ZONA 5;LOS RIOS;VALENCIA;VARIOS;19/6/2017;BOLETA;HOMBRE;23;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;HOMBRE;46;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;41;ECUATORIANA
ZONA 5;LOS RIOS;BUENA FE;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;MUJER;14;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;MUJER;16;ECUATORIANA
ZONA 5;LOS RIOS;BABAHOYO;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;12;ECUATORIANA
ZONA 5;LOS RIOS;BABAHOYO;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;14;ECUATORIANA
ZONA 8;DMG;DURAN;HURTO;19/6/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 2;ORELLANA;PUERTO FRANCISCO DE ORELLANA;VARIOS;19/6/2017;BOLETA;HOMBRE;21;ECUATORIANA
ZONA 2;ORELLANA;PUERTO FRANCISCO DE ORELLANA;OTROS ROBOS;19/6/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;19/6/2017;BOLETA;HOMBRE;51;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;19/6/2017;BOLETA;HOMBRE;54;ECUATORIANA
ZONA 1;CARCHI;TULCAN;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;32;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;HOMBRE;40;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 8;DMG;DURAN;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 1;ESMERALDAS;ESMERALDAS;VARIOS;19/6/2017;BOLETA;HOMBRE;33;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;18/6/2017;BOLETA;HOMBRE;27;ECUATORIANA
ZONA 5;GUAYAS;PLAYAS;HURTO;19/6/2017;FLAGRANTE;HOMBRE;34;ECUATORIANA
ZONA 3;TUNGURAHUA;AMBATO;VARIOS;19/6/2017;BOLETA;HOMBRE;72;ECUATORIANA
ZONA 5;GUAYAS;EMPALME;VARIOS;19/6/2017;FLAGRANTE;MUJER;35;ECUATORIANA
ZONA 5;GUAYAS;EMPALME;VARIOS;19/6/2017;FLAGRANTE;MUJER;34;ECUATORIANA
ZONA 2;PICHINCHA;MEJIA;HURTO;19/6/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 3;TUNGURAHUA;SANTIAGO DE PILLARO;VARIOS;19/6/2017;BOLETA;HOMBRE;32;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;23;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;27;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;MUJER;21;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;19/6/2017;BOLETA;HOMBRE;44;ECUATORIANA
ZONA 4;MANABI;JIPIJAPA;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;59;ECUATORIANA
ZONA 5;GUAYAS;NARANJAL;ROBO DOMICILIO;19/6/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 9;DMQ;QUITO;ATENTADO AL PUDOR;19/6/2017;FLAGRANTE;HOMBRE;35;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;19/6/2017;BOLETA;HOMBRE;55;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;ROBO DE BIENES
ZONA 4;MANABI;JARAMIJO;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 5;GALAPAGOS;SANTA CRUZ;HURTO;19/6/2017;FLAGRANTE;HOMBRE;40;ECUATORIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;VARIOS;19/6/2017;BOLETA;HOMBRE;25;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;HOMBRE;57;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;MUJER;56;ECUATORIANA
