Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 5;LOS RIOS;MOCACHE;ROBO DOMICILIO;1/1/2017;FLAGRANTE;HOMBRE;16;ECUATORIANA
ZONA 5;LOS RIOS;MOCACHE;ROBO DOMICILIO;1/1/2017;FLAGRANTE;HOMBRE;17;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;FALSIFICACION;1/1/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 3;TUNGURAHUA;AMBATO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;24;ECUATORIANA
ZONA 6;MORONA SANTIAGO;HUAMBOYA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;19;ECUATORIANA
ZONA 3;TUNGURAHUA;AMBATO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;27;ECUATORIANA
ZONA 2;PICHINCHA;CAYAMBE;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 2;PICHINCHA;CAYAMBE;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;38;ECUATORIANA
ZONA 2;PICHINCHA;CAYAMBE;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;23;ECUATORIANA
ZONA 7;ZAMORA CHINCHIPE;ZAMORA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 7;ZAMORA CHINCHIPE;YANTZAZA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;34;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;35;ECUATORIANA
ZONA 2;NAPO;TENA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;31;ECUATORIANA
ZONA 2;NAPO;TENA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;25;ECUATORIANA
ZONA 7;LOJA;LOJA;TENTATIVA DE ROBO;1/1/2017;BOLETA;HOMBRE;41;ECUATORIANA
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;1/1/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 3;TUNGURAHUA;AMBATO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;42;ECUATORIANA
ZONA 5;LOS RIOS;QUEVEDO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/2017;FLAGRANTE;HOMBRE;27;ECUATORIANA
ZONA 4;MANABI;MONTECRISTI;VARIOS;1/1/2017;BOLETA;HOMBRE;34;ECUATORIANA
ZONA 4;MANABI;MANTA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 2;PICHINCHA;CAYAMBE;TENTATIVA DE ROBO;1/1/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 1;SUCUMBIOS;CASCALES;VARIOS;1/1/2017;BOLETA;HOMBRE;23;ECUATORIANA
ZONA 5;LOS RIOS;QUEVEDO;OTROS ROBOS;1/1/2017;FLAGRANTE;HOMBRE;52;ECUATORIANA
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/2017;FLAGRANTE;HOMBRE;41;ECUATORIANA
ZONA 5;SANTA ELENA;SALINAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/2017;FLAGRANTE;HOMBRE;17;ECUATORIANA
ZONA 4;MANABI;PEDERNALES;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/2017;FLAGRANTE;HOMBRE;27;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;VARIOS;1/1/2017;BOLETA;MUJER;20;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;VARIOS;1/1/2017;BOLETA;HOMBRE;20;ECUATORIANA
ZONA 7;LOJA;SARAGURO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;45;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;1/1/2017;BOLETA;HOMBRE;26;ECUATORIANA
ZONA 1;IMBABURA;OTAVALO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;24;ECUATORIANA
ZONA 8;DMG;DURAN;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;34;ECUATORIANA
ZONA 5;BOLIVAR;ECHEANDIA;VARIOS;1/1/2017;BOLETA;HOMBRE;34;ECUATORIANA
ZONA 6;AZUAY;CUENCA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;22;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;33;ECUATORIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;VARIOS;1/1/2017;BOLETA;HOMBRE;23;ECUATORIANA
ZONA 1;IMBABURA;OTAVALO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;22;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;42;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;62;ECUATORIANA
ZONA 1;IMBABURA;PIMAMPIRO;VARIOS;1/1/2017;BOLETA;HOMBRE;30;ECUATORIANA
ZONA 5;GUAYAS;NARANJAL;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 7;ZAMORA CHINCHIPE;YANTZAZA;VARIOS;1/1/2017;BOLETA;HOMBRE;23;ECUATORIANA
ZONA 5;GUAYAS;PLAYAS;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
