Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE PRIMERA CLASE;3/10/2019;HOMBRE;54;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE PRIMERA CLASE;3/10/2019;HOMBRE;23;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE PRIMERA CLASE;3/10/2019;HOMBRE;23;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE PRIMERA CLASE;3/10/2019;HOMBRE;21;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;12/6/2019;HOMBRE;17;ECUATORIANO
ZONA 9;DMQ;QUITO;PARALIZACIÓN DE UN SERVICIO PÚBLICO;3/10/2019;HOMBRE;34;ECUATORIANO
ZONA 9;DMQ;QUITO;PARALIZACIÓN DE UN SERVICIO PÚBLICO;3/10/2019;HOMBRE;34;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE PRIMERA CLASE;3/10/2019;HOMBRE;22;ECUATORIANO
ZONA 9;DMQ;QUITO;PARALIZACIÓN DE UN SERVICIO PÚBLICO;3/10/2019;HOMBRE;49;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;MUJER;33;ECUATORIANO
ZONA 7;EL ORO;SANTA ROSA;VIOLACIÓN;4/10/2019;HOMBRE;17;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;4/10/2019;HOMBRE;37;ECUATORIANO
ZONA 2;ORELLANA;LORETO;CONTRAVENCIONES DE CUARTA CLASE;4/10/2019;HOMBRE;28;ECUATORIANO
ZONA 5;GUAYAS;MILAGRO;ROBO A PERSONAS;4/10/2019;HOMBRE;22;ECUATORIANO
ZONA 5;GUAYAS;MILAGRO;ROBO A PERSONAS;4/10/2019;HOMBRE;22;ECUATORIANO
ZONA 6;MORONA SANTIAGO;GUALAQUIZA;BOLETA DE APREMIO;4/10/2019;HOMBRE;20;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;HOMBRE;43;ECUATORIANO
ZONA 8;DMG;DURAN;TENENCIA Y PORTE DE ARMAS;4/10/2019;HOMBRE;39;ECUATORIANO
ZONA 9;DMQ;QUITO;TENENCIA Y PORTE DE ARMAS;4/10/2019;HOMBRE;25;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;31;ECUATORIANO
ZONA 1;ESMERALDAS;RIOVERDE;INTIMIDACIÓN;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;69;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;36;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;HURTO;4/10/2019;HOMBRE;15;COLOMBIANO
ZONA 9;DMQ;QUITO;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;HOMBRE;24;ECUATORIANO
ZONA 9;DMQ;QUITO;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;HOMBRE;21;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;64;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;4/10/2019;HOMBRE;38;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;BOLETA DE APREMIO;4/10/2019;HOMBRE;28;ECUATORIANO
ZONA 2;PICHINCHA;RUMIÐAHUI;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;47;ECUATORIANO
ZONA 6;AZUAY;CUENCA;BOLETA DE AUXILIO;4/10/2019;HOMBRE;29;ECUATORIANO
