Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 7;ZAMORA CHINCHIPE;YANTZAZA;BOLETA DE DETENCIÓN/CAPTURA;13/2/2019;HOMBRE;50;ECUATORIANO
ZONA 7;ZAMORA CHINCHIPE;ZAMORA;NOVEDADES;12/1/2019;HOMBRE;35;ECUATORIANO
ZONA 8;DMG;SAMBORONDON;ALMACENAMIENTO
ZONA 7;ZAMORA CHINCHIPE;CHINCHIPE;BOLETA DE APREMIO;17/1/2019;HOMBRE;25;ECUATORIANO
ZONA 6;MORONA SANTIAGO;SUCUA;CONTRAVENCIONES DE PRIMERA CLASE;15/1/2019;HOMBRE;21;ECUATORIANO
ZONA 2;PICHINCHA;SAN MIGUEL DE LOS BANCOS;FINANCIAMIENTO O SUMINISTROS DE MAQUINARIAS PARA EXTRACCION ILICITA DE RECURSOS MINEROS;8/1/2019;HOMBRE;35;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ROBO A PERSONAS;21/1/2019;HOMBRE;24;ECUATORIANO
ZONA 7;LOJA;LOJA;PROCEDIMIENTOS;10/2/2019;HOMBRE;38;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE DETENCIÓN/CAPTURA;16/2/2019;HOMBRE;29;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;25/2/2019;HOMBRE;22;ECUATORIANO
ZONA 2;ORELLANA;PUERTO FRANCISCO DE ORELLANA;BOLETA DE APREMIO;16/1/2019;HOMBRE;52;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;VIOLACIÓN DE PROPIEDAD PRIVADA;2/2/2019;HOMBRE;28;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;BOLETA DE APREMIO;30/1/2019;HOMBRE;31;ECUATORIANO
ZONA 3;COTOPAXI;LATACUNGA;CONTRAVENCIONES DE CUARTA CLASE;13/1/2019;HOMBRE;23;ECUATORIANO
ZONA 9;DMQ;QUITO;LOS QUE LLEVEN ARMAS PROHIBIDAS;28/2/2019;HOMBRE;19;ECUATORIANO
ZONA 2;NAPO;TENA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;13/1/2019;HOMBRE;28;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;14/1/2019;HOMBRE;29;VENEZOLANO
ZONA 9;DMQ;QUITO;OTROS;20/1/2019;HOMBRE;31;ECUATORIANO
ZONA 2;NAPO;TENA;CONTRABANDO;26/2/2019;HOMBRE;54;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;23/1/2019;HOMBRE;20;ECUATORIANO
ZONA 3;TUNGURAHUA;PATATE;BOLETA DE APREMIO;7/1/2019;HOMBRE;59;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE DETENCIÓN/CAPTURA;5/2/2019;HOMBRE;19;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE DETENCIÓN/CAPTURA;15/1/2019;MUJER;53;ECUATORIANO
ZONA 6;AZUAY;PAUTE;BOLETA DE APREMIO;31/1/2019;HOMBRE;40;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;RECEPTACIÓN;27/1/2019;HOMBRE;56;ECUATORIANO
ZONA 8;DMG;DURAN;CONTRAVENCIONES DE PRIMERA CLASE;28/2/2019;HOMBRE;54;ECUATORIANO
ZONA 7;EL ORO;HUAQUILLAS;FALSIFICACION DE DOCUMENTOS
ZONA 7;EL ORO;HUAQUILLAS;PATRULLAJES Y OPERATIVOS;22/1/2019;MUJER;20;VENEZOLANO
ZONA 1;CARCHI;TULCAN;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;24/1/2019;HOMBRE;SIN DATO;COLOMBIANO
