Zona;Subzona;Cantón;presunta_subinfraccion;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 5;LOS RIOS;QUEVEDO;LESIONES;19/10/2020;HOMBRE;SIN DATO;VENEZOLANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;22/7/2020;HOMBRE;23;VENEZOLANO
ZONA 7;ZAMORA CHINCHIPE;CHINCHIPE;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;25/1/2020;HOMBRE;23;ECUATORIANO
ZONA 7;LOJA;CATAMAYO;BOLETA DE APREMIO;12/11/2020;HOMBRE;30;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE SEGUNDA CLASE;1/3/2020;MUJER;37;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;BOLETA DE AUXILIO;29/10/2020;HOMBRE;31;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;25/6/2020;HOMBRE;23;ECUATORIANO
ZONA 7;LOJA;LOJA;ABUSO DE CONFIANZA;3/9/2020;HOMBRE;39;ECUATORIANO
ZONA 6;AZUAY;CUENCA;ROBO DE BIENES
ZONA 1;ESMERALDAS;QUININDE;CONTRAVENCIONES DE TRÁNSITO DE PRIMERA CLASE;14/8/2020;HOMBRE;23;ECUATORIANO
ZONA 6;AZUAY;CUENCA;BOLETA DE APREMIO;22/10/2020;HOMBRE;33;ECUATORIANO
ZONA 5;GUAYAS;SAN JACINTO DE YAGUACHI;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;3/10/2020;HOMBRE;32;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;10/8/2020;HOMBRE;32;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;CONTRAVENCIONES DE CUARTA CLASE;29/6/2020;HOMBRE;23;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;29/2/2020;HOMBRE;21;ECUATORIANO
ZONA 5;GUAYAS;SAN JACINTO DE YAGUACHI;CONTRAVENCIONES DE SEGUNDA CLASE;31/5/2020;HOMBRE;27;ECUATORIANO
ZONA 5;GALAPAGOS;ISABELA;HURTO;11/7/2020;HOMBRE;20;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE APREMIO;7/11/2020;HOMBRE;35;ECUATORIANO
ZONA 5;GUAYAS;NOBOL;ROBO EN EJES VIALES O CARRETERAS;5/4/2020;HOMBRE;28;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;29/1/2020;HOMBRE;26;ECUATORIANO
