Zona;Subzona;Cantón;presunta_subinfraccion;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 5;GUAYAS;NARANJITO;PERJURIO Y FALSO TESTIMONIO;3/2/2021;HOMBRE;56;ECUATORIANO
ZONA 4;MANABI;PEDERNALES;PERJURIO Y FALSO TESTIMONIO;7/2/2021;MUJER;25;ECUATORIANO
ZONA 3;COTOPAXI;SALCEDO;PERJURIO Y FALSO TESTIMONIO;12/2/2021;MUJER;14;ECUATORIANO
ZONA 3;TUNGURAHUA;QUERO;PERJURIO Y FALSO TESTIMONIO;22/2/2021;HOMBRE;51;ECUATORIANO
ZONA 7;LOJA;LOJA;PERJURIO Y FALSO TESTIMONIO;17/3/2021;HOMBRE;39;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;PERJURIO Y FALSO TESTIMONIO;8/7/2021;HOMBRE;53;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;PERJURIO Y FALSO TESTIMONIO;13/4/2021;MUJER;21;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;PERJURIO Y FALSO TESTIMONIO;17/4/2021;MUJER;49;ECUATORIANO
ZONA 2;PICHINCHA;CAYAMBE;PERJURIO Y FALSO TESTIMONIO;3/2/2021;MUJER;20;ECUATORIANO
ZONA 5;GUAYAS;MILAGRO;PERJURIO Y FALSO TESTIMONIO;28/4/2021;MUJER;38;ECUATORIANO
ZONA 5;SANTA ELENA;LA LIBERTAD;PERJURIO Y FALSO TESTIMONIO;13/5/2021;HOMBRE;50;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;PERJURIO Y FALSO TESTIMONIO;10/5/2021;HOMBRE;25;ECUATORIANO
ZONA 7;ZAMORA CHINCHIPE;ZAMORA;PERJURIO Y FALSO TESTIMONIO;28/7/2021;HOMBRE;31;ECUATORIANO
ZONA 7;ZAMORA CHINCHIPE;ZAMORA;PERJURIO Y FALSO TESTIMONIO;28/7/2021;HOMBRE;23;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;PERJURIO Y FALSO TESTIMONIO;2/6/2021;HOMBRE;72;ECUATORIANO
ZONA 3;TUNGURAHUA;BAÑOS DE AGUA SANTA;PERJURIO Y FALSO TESTIMONIO;27/8/2021;HOMBRE;50;ECUATORIANO
ZONA 4;MANABI;MANTA;PERJURIO Y FALSO TESTIMONIO;26/8/2021;HOMBRE;40;ECUATORIANO
ZONA 4;MANABI;MANTA;PERJURIO Y FALSO TESTIMONIO;26/8/2021;HOMBRE;34;ECUATORIANO
ZONA 4;MANABI;MANTA;PERJURIO Y FALSO TESTIMONIO;26/8/2021;HOMBRE;37;ECUATORIANO
ZONA 4;MANABI;MANTA;PERJURIO Y FALSO TESTIMONIO;26/8/2021;HOMBRE;29;ECUATORIANO
ZONA 4;MANABI;MANTA;PERJURIO Y FALSO TESTIMONIO;26/8/2021;HOMBRE;35;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;PERJURIO Y FALSO TESTIMONIO;30/8/2021;MUJER;32;ECUATORIANO
ZONA 6;AZUAY;GIRON;PERJURIO Y FALSO TESTIMONIO;12/9/2021;HOMBRE;34;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;PERJURIO Y FALSO TESTIMONIO;5/10/2021;HOMBRE;50;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;PERJURIO Y FALSO TESTIMONIO;14/10/2021;HOMBRE;36;ECUATORIANO
ZONA 1;IMBABURA;OTAVALO;PERJURIO Y FALSO TESTIMONIO;18/10/2021;HOMBRE;27;ECUATORIANO
ZONA 3;TUNGURAHUA;QUERO;PERJURIO Y FALSO TESTIMONIO;7/11/2021;HOMBRE;26;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;PERJURIO Y FALSO TESTIMONIO;8/11/2021;MUJER;55;ECUATORIANO
ZONA 4;MANABI;PORTOVIEJO;PERJURIO Y FALSO TESTIMONIO;17/11/2021;HOMBRE;50;ECUATORIANO
ZONA 9;DMQ;QUITO;PERJURIO Y FALSO TESTIMONIO;23/11/2021;HOMBRE;39;ECUATORIANO
ZONA 9;DMQ;QUITO;PERJURIO Y FALSO TESTIMONIO;17/12/2021;HOMBRE;22;ECUATORIANO
ZONA 7;ZAMORA CHINCHIPE;ZAMORA;PERJURIO Y FALSO TESTIMONIO;15/12/2021;HOMBRE;29;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;FRAUDE PROCESAL;5/1/2021;HOMBRE;31;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;FRAUDE PROCESAL;14/1/2021;HOMBRE;38;ECUATORIANO
ZONA 5;GUAYAS;PEDRO CARBO;FRAUDE PROCESAL;27/2/2021;HOMBRE;29;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;FRAUDE PROCESAL;18/3/2021;MUJER;30;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;FRAUDE PROCESAL;18/3/2021;HOMBRE;36;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;FRAUDE PROCESAL;7/7/2021;HOMBRE;17;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;FRAUDE PROCESAL;12/5/2021;HOMBRE;29;ECUATORIANO
ZONA 6;CAÑAR;CAÑAR;FRAUDE PROCESAL;17/5/2021;HOMBRE;32;ECUATORIANO
ZONA 8;DMG;SAMBORONDON;FRAUDE PROCESAL;16/5/2021;HOMBRE;50;ECUATORIANO
ZONA 8;DMG;SAMBORONDON;FRAUDE PROCESAL;16/5/2021;HOMBRE;34;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;FRAUDE PROCESAL;19/5/2021;HOMBRE;29;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;FRAUDE PROCESAL;22/5/2021;MUJER;35;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;FRAUDE PROCESAL;22/5/2021;HOMBRE;18;ECUATORIANO
ZONA 8;DMG;SAMBORONDON;FRAUDE PROCESAL;24/5/2021;MUJER;37;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;FRAUDE PROCESAL;21/7/2021;MUJER;39;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;FRAUDE PROCESAL;1/6/2021;HOMBRE;37;ECUATORIANO
ZONA 6;CAÑAR;CAÑAR;FRAUDE PROCESAL;8/6/2021;HOMBRE;32;ECUATORIANO
ZONA 4;MANABI;MANTA;FRAUDE PROCESAL;1/10/2021;HOMBRE;33;ECUATORIANO
ZONA 4;MANABI;MANTA;FRAUDE PROCESAL;1/10/2021;HOMBRE;45;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;FRAUDE PROCESAL;10/11/2021;HOMBRE;36;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;FRAUDE PROCESAL;17/2/2021;HOMBRE;37;ECUATORIANO
ZONA 4;MANABI;MANTA;REVELACIÓN DE IDENTIDAD DE AGENTE ENCUBIERTO
ZONA 8;DMG;GUAYAQUIL;EVASIÓN;7/3/2021;HOMBRE;30;ECUATORIANO
ZONA 7;EL ORO;MACHALA;EVASIÓN;10/1/2021;HOMBRE;31;ECUATORIANO
ZONA 4;MANABI;EL CARMEN;EVASIÓN;16/1/2021;HOMBRE;33;ECUATORIANO
ZONA 4;MANABI;PORTOVIEJO;EVASIÓN;17/1/2021;HOMBRE;24;ECUATORIANO
ZONA 5;GUAYAS;EMPALME;EVASIÓN;19/1/2021;HOMBRE;58;ECUATORIANO
ZONA 5;GUAYAS;EMPALME;EVASIÓN;19/1/2021;MUJER;29;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;EVASIÓN;21/1/2021;HOMBRE;26;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;21/1/2021;MUJER;31;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;21/1/2021;HOMBRE;28;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;21/1/2021;HOMBRE;34;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;21/1/2021;HOMBRE;32;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;21/1/2021;HOMBRE;30;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;21/1/2021;HOMBRE;35;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;21/1/2021;MUJER;27;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;21/1/2021;HOMBRE;34;ECUATORIANO
ZONA 2;PICHINCHA;CAYAMBE;EVASIÓN;26/1/2021;HOMBRE;30;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;EVASIÓN;30/1/2021;HOMBRE;34;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;EVASIÓN;1/2/2021;HOMBRE;40;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;EVASIÓN;1/2/2021;HOMBRE;28;ECUATORIANO
ZONA 1;CARCHI;TULCAN;EVASIÓN;6/2/2021;HOMBRE;37;ECUATORIANO
ZONA 1;CARCHI;TULCAN;EVASIÓN;6/2/2021;MUJER;35;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;7/2/2021;MUJER;37;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;7/2/2021;HOMBRE;35;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;7/2/2021;HOMBRE;33;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;7/2/2021;HOMBRE;28;ECUATORIANO
ZONA 9;DMQ;QUITO;EVASIÓN;7/2/2021;HOMBRE;38;ECUATORIANO
ZONA 6;AZUAY;SANTA ISABEL;EVASIÓN;14/2/2021;HOMBRE;26;ECUATORIANO
ZONA 6;AZUAY;SANTA ISABEL;EVASIÓN;14/2/2021;HOMBRE;36;ECUATORIANO
ZONA 6;AZUAY;SANTA ISABEL;EVASIÓN;14/2/2021;MUJER;32;ECUATORIANO
